index,sentence1,sentence2,label
312,"""Once you get a chance to talk to West Palm Beach, Florida native Whitney Cunningham, who placed seventh on the eighth cycle of the popular reality TV series America's Next Top Model, you begin to understand what host Tyra Banks meant when she described her as the """"full package."""" First of all, she is confident and headstrong, which is a must on these kinds of shows, almost as much as it is to take a beautiful modelesque picture. Second, she turns that confidence into drive. She has been receiving steady work as a model since leaving the show, and still believes that her goal of being the first woman to wear a size ten dress on the cover of Vogue is in reach. Third, and probably most important to television viewers, she obliterates the age-old model stereotype that to be pretty and photograph well, one must also be vapid and without a thought.""",Whitney Cunningham was born in Florida.,entailment
2196,"Côte d'Ivoire, once a haven of stability in West Africa and the world's top cocoa producer, has been split in two since a failed coup against Gbagbo in September 2002, pitting rebels from the Muslim-dominated north against the Christian-populated south.",Côte d'Ivoire is located in Africa.,entailment
492,Obesity is medically accepted to be a disease in its own right.,Obesity is medically treated.,not_entailment
1513,"The crisis took a sharp turn for the worse after the cabinet, without the Syrian-backed ministers, approved the UN draft document for creation of an international tribunal in the case of ex-Premier Rafik Hariri's killing.",The crisis worsened after the UN draft document for the creation of an international tribunal was approved.,entailment
689,"This year, however, the contest has taken on a new urgency as the Clinton Administration, moving to block the Pyongyang government's bid to build a nuclear arsenal, has rekindled some of the passion in North Korea's defiance of the West.",Pyongyang is the capital of North Korea.,not_entailment
634,"Councilman Pierce had built the home for his daughter on E. 28th Street off Rossville Blvd, as he lives nearby.",Pierce lives on E. 28th Street.,not_entailment
1406,Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.,Desko's Orange beat Navy 14-13 on Monday for the Division I title in men's lacrosse.,not_entailment
1201,"Victor Emmanuel was born on Nov. 11, 1869, in Naples. After his father, Umberto I, was assassinated in 1900, Victor Emmanuel succeeded to the throne.",Victor Emmanuel III was king of Italy from 1900 to 1946.,not_entailment
190,"The twin buildings are 88 stories each, compared with the Sears Tower's 110 stories.",The Sears Tower has 110 stories.,entailment
1502,"The blast observed on Dec. 27 came from a neutron star: a collapsed dead star with a sun-like mass squeezed into a sphere, just 15 miles across, in the constellation Sagittarius (the Archer).",The December burst came from a neutron star in the constellation Sagittarius.,entailment
317,"Fears were growing last night for the safety of a 'distressed' mother who has disappeared with her disabled nine-year-old daughter. Florist Jude Richmond, whose customers include the Royal Family, was last seen carrying cerebral palsy sufferer Millie Whitehead-Richmond as they left home on Sunday night. Mrs Richmond, 41, was said to have been devastated after splitting from her husband and business partner, Nicholas Richmond, earlier this year.  Police believe she became increasingly depressed after the split. She is said to be in a 'very vulnerable state of mind' at the time of her disappearance.",Jude Richmond works with the police.,not_entailment
234,"The M-2000 uses a commercially manufactured NbTi superconductor, similar to that used in the M-2000 Maglev magnets.",Maglev is commercially used.,not_entailment
1522,"Following the Israel-Egypt Peace Treaty of 1979, Israel agreed to withdraw from the Sinai Peninsula, in exchange for peace with its neighbor. For over two decades, the Sinai Peninsula was home to about 7,000 Israelis.",The Israel-Egypt Peace Agreement was signed in 1979.,entailment
403,"Today's best estimate of giant panda numbers in the wild is about 1,100 individuals living in up to 32 separate populations mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.","There are 1,100 pandas in the wild, in China.",entailment
503,Elizabeth Dowdeswell is the Under Secretary General at the United Nations Offices at Nairobi and Executive Director of the United Nations Environment Programme.,Elizabeth Dowdeswell is Executive Director of the United Nations Environment Programme.,entailment
1267,"The 54-year-old man from London, who was not otherwise identified, was located following cooperation with British authorities, police said in a statement.",The 54-year-old man resides in London.,entailment
1282,"Perhaps there is no expansion, at least not due to a big bang which never happened. About 20 years ago, Halton Arp and John Bahcall published a debate in The Redshift Controversy, presenting both sides of the argument.",We estimate that the Big Bang happened 20 years ago.,not_entailment
1554,Heemeyer equipped an old bulldozer with three television cameras and monitors so he could see to steer.,Heemeyer had installed television cameras connected to three monitors so he could see where he was going.,entailment
1860,"THE presidents of Honduras and El Salvador were set yesterday to begin two days of talks in San Salvador, amid continuing tension in border areas.",Honduras and El Salvador entered a dispute over their borders.,entailment
605,"Rehnquist served longer as chief justice than anyone in a century, and his 33-year career as a justice was among the half-dozen longest in the court's history.","Rehnquist served the second-longest tenure, as chief justice, in US history.",not_entailment
1918,A senior al-Qaeda operative who was said to be planning an attack on Heathrow Airport has been arrested.,"Despite rumors, the British Home Office denied any specific threat had been made to target Heathrow airport.",not_entailment
2255,"Journalists of the concealed BBC, that was made happen through advisers of London industralists, asked Slavkov.","BBC undercover reporters, posing as consultants acting for London businessmen, ask Slavkov.",not_entailment
1348,"He graduated from high school from Benton, Tenn. and from Tennessee Tech. in Cookville, and holds a doctorate in physics from Virginia Tech.",Tennessee Tech is an organisation based in Cookville.,entailment
2115,"U.S. Embassy spokesman Stanley Shrager said that the Americans hope to help Port-au-Prince's elected mayor, Evans Paul, return from hiding and resume his post as mayor of the city.",Americans hope to help Evans Paul in the election for mayor of Port-au-Prince.,not_entailment
1115,"""Australian cheerleaders have been told today to cover up their midriffs under calls by Gymnastics Australia, as they believe it encourages girls to be self-conscious. Nerine Cooper, head of Gymnastics Australia, told the Sunday Telegraph, """"We don't want girls to feel under pressure to lose weight because of uniforms."""" Lisa Ince, head of Sydney Professional Dancers, disagreed. """"It's ridiculous really, if the thinking is that a midriff is offensive, then every dance school and athletics club would face the same restrictions,"""" she said. The ban will affect about 150 teams registered with Gymnastics Australia.""",Lisa Ince is the chief of Sydney Professional Dancers.,entailment
1083,The Osaka World Trade Center is the tallest building in Western Japan.,The Osaka World Trade Center is the tallest building in Japan.,not_entailment
1289,"Jusman Syafii Djamal, minister of transport for Indonesia, has recommended that local airlines should not purchase aircraft from European manufacturers, such as Airbus. It is a direct response to the decision of the European Union (EU) to add all 51 of Indonesia's air carriers to the list of air carriers banned in the EU. The EU made the decision to ban the Indonesian air traffic due to a string of accidents in the country, including two major disasters this year - the losses of Adam Air Flight 574 and Garuda Indonesia Flight 200, which killed 102 and 21 people respectively.",Indonesian carriers will not acquire airplanes from Europe.,entailment
2488,"Brooklyn Borough Hall featured a Who's Who in New York's literary community during the second annual Brooklyn Book Festival. According to Brooklyn Borough President Marty Markowitz, the borough's zip code 11215 boasts more authors than anywhere else in the country. It appeared to be the case on Sunday. More than 100 authors were featured at the day-long event, including The Basketball Diaries writer Jim Carroll, former M*A*S*H star Mike Farrell, author and illustrator Mo Willems, Jack Kerouac's sometime lover and National Book Critics Circle Award recipient Joyce Johnson and PEN American Center President Francine Prose.",The Brooklyn Book Festival is held in Brooklyn Borough every year.,entailment
2107,"Besides producing this riverine sea, the deluge also nourishes the largest stretch of rain forest left on Earth. One-third of the remaining rain forest was in the Amazon basin and fires had consumed about 10% of it, an area twice the size of California.",The Amazon rain forest is a vast area in South America.,not_entailment
1531,"A variety of devices could be powered selectively from a single-power source carried on the body via multiple power supply signals at different frequencies, according to the patent abstract.",The patent abstract shows a number of devices using a single source.,entailment
2008,Saginaw police responded to a domestic violence complaint at the wrong house and ended up shooting the owners' dog.,Saginaw police mistakenly went to the wrong house in response to a complaint.,entailment
16,"Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing on December 20, where she is being held without bail, which would prevent her attending the Washington event on Friday even if she still had permission to perform. Sierra has been in jail since the start of the month after an altercation with police officers outside a Tampa nightclub, which she had been ejected from. She is charged with disorderly intoxication and resisting arrest.","""Sierra once reached the finals of """"American Idol"""".""",not_entailment
550,"In any case, the fact that this week Michael Melvill, a 63-year-old civilian pilot, guided a tiny rocket-ship more than 100 kilometres above the Earth and then glided it safely back to Earth, is a cause for celebration.",Michael Melvill guided more than 100 rocket-ships above the Earth.,not_entailment
669,"Brent Frei, the co-founder of midmarket CRM vendor Onyx Software Corp., plans to step down as chief executive and chairman.",Brent Frei quits ceo position.,entailment
298,"Fiona North, Ophthalmic Adviser with the SHSSB added: Eye injuries caused by fireworks are extremely serious and can permanently damage eyesight. I would urge those who are co-ordinating efficient firework displays to use appropriate eye protection.",Fireworks may cause serious injuries.,entailment
1186,"The steel division of Broken Hill Proprietary, the Australian resources group, and North Star steel, part of the privately-owned Cargill group in the US, are joining forces to build and operate a new steel mini-mill in the US Midwest.",Australia's Broken Hill Proprietary and the US's North Star Steel will build and operate one in the US Midwest.,entailment
374,"In February 1942, the Japanese Imperial Army landed an army of 20 thousand men in Dili (the capital of East Timor) and occupied the then Portuguese colony.",East Timor was a colony of Dili before it was occupied by Indonesia in 1975.,not_entailment
1637,"This was, after all, Chuck Yeager, a guy with all the right stuff, the biggest top gun of them all, whose post-World War II exploits in the topsy-turvy world of supersonic air travel helped pave the way for space exploration.",Chuck Yeager broke the sound barrier in 1947.,not_entailment
12,"""Valero Energy Corp., on Monday, said it found """"extensive"""" additional damage at its 250,000-barrel-per-day Port Arthur refinery.""","Valero Energy Corp. produces 250,000 barrels per day.",entailment
259,The order is worth EUR 58 million and handover of the submarines to the Portuguese navy is scheduled for 2010. The contract also includes an option for the same equipment to be built into a third submarine.,The Portuguese Navy has 58 submarines.,not_entailment
2188,"Robert Szabo concludes that circumcision, as practiced by Muslims, would be the most immediately effective intervention for reducing HIV transmission since it is done before men are sexually active.",It is incorrect to assert that circumcision prevents HIV infection.,not_entailment
292,Kohl participated in the late stage of WWII as a teenage soldier. He joined the Christian-Democratic Union (CDU) in 1947.,The name of Helmut Kohl's political party is the Christian Democratic Union.,entailment
2452,"The decision by the British government to suspend flights to Kenya is regrettable, it plays into the hands of terrorists.",The British government banned flights to Kenya.,entailment
2152,"""Sweden-based airline Scandinavian Airlines System (SAS) said it will reduce payrolls by 8,600 jobs as part of its """"Core SAS"""" restructuring plan. The airline will cut 3,000 staff directly and eliminate 5,600 by divesting business ventures, reducing the workforce by 40% to 14,000. The restructuring  comes after SAS posted losses of 6.32 billion Swedish krona in 2008. The company is also to sell airBaltic and Spanair and its stakes in Air Greenland,  BMI, Estonian Air, Skyways Express, Spirit Airlines and Trust. Spanair is to be sold for €1. The company intends to switch to concentrating on its core  Nordic market.""",European Airlines are cutting jobs.,entailment
135,"Cosmonaut Sergei Avdeyev, currently on board the Mir space station, has become the person with the longest total stay in space. He has clocked up 681 days.",Russians hold record for longest stay in space.,entailment
2020,"""BEA Arthur seemed the very definition of a tough showbiz broad. Tall, astringent, imperious -- she looked like someone who didn't suffer fools and could cut them down with a withering look or a well-aimed barb, delivered in that famous contralto. And it was, for the most part, all an act, says her close friend of more than 40 years, Angela Lansbury. """"Bea was absolutely the antithesis of the characters she portrayed,"""" Lansbury says. """"She was sensitive -- really, really sensitive -- and self-conscious. But she covered it up by becoming this deep-voiced comic.""",Angela Lansbury is an actress.,not_entailment
2464,"Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders about the election of the EU commission president.",EU leaders take part in an EU-Japan summit.,not_entailment
339,"US troops evacuated two injured soldiers said Staff Sgt. Duane Brown, a spokesman for the 42nd Infantry Division.",U.S. Military evacuated U.S. citizens.,not_entailment
810,A brain-dead teenager was removed from life-support equipment after giving birth to a premature daughter.,Pregnant women are allowed to die after they deliver their babies.,not_entailment
2326,"""Police were called to the Highgrove House, the home belonging to Prince Charles and his wife Camilla on Tuesday night after police received a call that there was an intruder on the property. """"He was detained within the grounds and did not gain access to any buildings,"""" said a spokesperson for the police, Tony Rymer. A spokesperson for the estate refused to comment to the media calling it """"a matter for the police"""" and that any comments on the intrusion should be given through them. According to a Gloucester Police spokeswoman, a man from Bristol, England was arrested after wielding a pitchfork around the property. The name of the 55-year-old has not been released, but police charged him with trespassing. He was later released after posting bail. Camilla and Charles, who were both present and sleeping on the estate at the time, were not injured.""",Prince Charles owns an estate in Bristol.,not_entailment
1212,"""Mr Tomlinson, 47, collapsed and died from a heart attack near the Bank of England after being caught up during the demonstrations on his way home last Wednesday. His son Paul, 26, said: """"Through CCTV and pictures that I've been shown he got refused access on a number of barricades that police had set up. And the missing jigsaw puzzle was what happened to him when he got into Royal Exchange Passage. I think what we've just seen has answered a lot of questions.""""""",Mr. Tomlinson was hit by a policeman.,not_entailment
1141,"""After the SkyWest airliner touched down, the Airport Movement Area Safety System (AMASS) alerted and the air traffic controller transmitted """"Hold, Hold, Hold"""" to the SkyWest flight crew in an attempt to stop the aircraft short of runway 1L. The SkyWest crew applied maximum braking that resulted in the airplane stopping in the middle of runway 1L. As this was occurring, the captain of Republic Airlines flight 4912 took control of the aircraft from the first officer, realized the aircraft was traveling too fast to stop, and initiated an immediate takeoff. According to the crew of SkyWest 5741, the Republic Airlines aircraft overflew theirs by 30 to 50 feet. The Federal Aviation Administration has categorized the incident as an operational error.""",NTSB is responsible for investigating transportation accidents in the United States.,not_entailment
940,"The iF awards are presented in Hanover, Germany, at the International Forum Design Hannover GMBH. There are a number of fields and disciplines which have their own awards.TAG Heuer's Monaco Calibre 360 LS Concept Chronograph has won the award in the Leisure/Lifestyle category. The timepiece was chosen from over 2,200 watches from 35 countries. This prestigious award was given to the company for the second time in two years. Last year the winner in the same category was TAG Heuer's Professional Golf Watch, designed together with Tiger Woods. This year's winning timepiece from TAG Heuer has a mechanical movement, which represents the first in the history of watchmaking to reach a precision of 1/100th of a second. The watch itself is to be seen at the iF design exhibition 2007, held in Hanover, from March 15 till August.",Tiger Woods attends the iF design exhibition 2007.,not_entailment
2346,"""Zakaria Maamar, associate professor at the College of Information Technology at Zayed University, UAE, told Science and Development Network (SciDev.Net) that, """"This initiative is another boost to the research and development activities that are carried out in the UAE. It will definitely provide researchers with the appropriate funds to sustain such activities and promote best practices in the community."""" Said Elnaffar, assistant professor at the college of information technology at the United Arab Emirates University, told SciDev.Net that, with this initiative, the UAE is taking the lead and setting a good example by building a strong development infrastructure founded on knowledge discovery and research.""",Said Elnaffar is an employee of the United Arab Emirates University.,entailment
2374,"The two sectors of the divided island of Cyprus held a referendum on reunification on Saturday, April 24, 2004.","Cyprus was divided on April 24, 2004.",not_entailment
213,"Domestic fire incidents have an important impact on population health by contributing to early death, serious and often disfiguring injuries, and ongoing disability. Fire-related injury is a leading cause of unintentional injury in the home in all age groups.",Domestic fires are a major cause of unintentional injury in the home.,entailment
1274,"They named themselves for Saint Joan of Arc. The brigade began with 17 women, but soon grew to 135 members. Its mission was to obtain money, weapons, provisions, and information for the combatant men. Many smuggled weapons into the combat zones by carrying them in carts filled with grain or cement.",Saint Joan of Arc's brigade got weapons for combatants.,entailment
632,Actual statistics about the deterrent value of capital punishment are not available because it is impossible to know who may have been deterred from committing a crime.,Capital punishment is a deterrent to crime.,not_entailment
2351,"More than 6,400 migratory birds and other animals were killed in Nevada by drinking water in the cyanide-laced ponds produced by gold mining operations.",Animals have died by the thousands from drinking at cyanide-laced holding ponds.,entailment
702,"The world's fast-growing thirst for water can only be met by purifying sea water as rivers and reservoirs become unable to meet demand, Spain said last week unveiling a major program to fight its own chronic shortages.",The Ebro Delta is used for farming.,not_entailment
1126,"In 1969, he drew up the report proposing the expulsion from the party of the Manifesto group. In 1984, after Berlinguer's death, Natta was elected as party secretary.",Natta supported the Manifesto group.,not_entailment
1858,"Xingwana called on established farmers to form partnerships with new landowners and to transfer skills to new farmers, to ensure productive use of transferred lands. One criticism of the programme is that some of the transferred farms have fallen in production due to the inexperience and lack of capital among the new owners. The government has rejected comparisons of the programme with that initiated in Zimbabwe under President Robert Mugabe.",Robert Mugabe was born in Zimbabwe.,not_entailment
2487,"NASA's Saturn exploration spacecraft, Cassini , has discovered an atmosphere about the moon Enceladus . This is the first such discovery by Cassini, other than Titan , of the presence of an atmosphere around a Saturn moon.",Titan is the fifteenth of Saturn's known satellites.,not_entailment
2168,The law once required settlers to clear 80% of their land in two years to win ownership.,"Before the late 1980's some nations even gave land and tax credit to individuals and companies slashing, burning, and exploiting the forest.",not_entailment
1414,"The richest provinces, Ontario, Alberta and B.C, have spent billions on tax cuts and slashing services while at the same time howling for Ottawa to give them more money for medicare.",Ottawa promises more money to upgrade the literacy levels and skills of natives and high school dropouts.,not_entailment
1197,"Now it's Romania-Argentina at the Rose Bowl today -- and with a victory, it's on to the quarterfinals at Stanford, and a victory there and Romania will be back in Pasadena for the semifinals and World Cup final.",The World Cup final was held in Pasadena.,entailment
187,"The soldier, James Barker, one of four American soldiers accused of raping the Iraqi girl and killing her family in the March 2006 incident, pleaded guilty on Wednesday to rape and murder in Fort Campbell, Kentucky.",James Barker is accused of raping an Iraqi girl and killing her family.,entailment
2013,"Although they were born on different planets, Oscar-winning actor Nicolas Cage's new son and Superman have something in common - both were named Kal-el.",Nicolas Cage's new son was awarded an Oscar.,not_entailment
1549,"In June 1971 cosmonauts Georgi Dobrovolski, Vladislav Volkov, and Viktor Patsayev occupied Salyut for 23 days, setting a new record for the longest human spaceflight.",23 days is the record for the longest stay in space by a human.,entailment
