Quality,#1 ID,#2 ID,#1 String,#2 String
0,2332155,2332299,"Henri was centered about 75 miles southwest of Cedar Key and was moving east-northeast at 5 mph , forecasters said .","It was centered about 100 miles southwest of Cedar Key and drifting erratically southward , forecasters said ."
1,2210997,2211155,"""Meanwhile , Lt. Gov. David Dewhurst alluded to an interparty political struggle : """" Sounds like the Republican primary started early this year . """"""","""Lt. Gov. David Dewhurst suggested a political motive for the report , saying : """" It sounds like the Republican primary started early this year . """""""
1,692252,692188,"Residents forced out of their homes on Sunday returned Monday , many to floods in their basements or lower floors .","Residents of 220 homes forced out of their houses Sunday returned Monday , many to flooded basements or lower floors ."
1,1916325,1916124,"""Ximian brings Novell unparalleled expertise , strengthening our ability to work with [ our ] customers and leverage open source initiatives more constructively . """"""", Ximian brings Novell unparalleled Linux expertise . . . [ and strengthens ] our ability to work with and leverage open source initiatives more constructively . 
1,3085147,3085018,The airline said the results showed that its recovery programme and other initiatives were helping to offset a continued deterioration in revenues .,It said today ’ s results showed that programme and other measures were helping to offset a continued deterioration in revenues .
1,2798317,2798487,Ten police officers were facing disciplinary action yesterday after they abandoned their night patrol to watch David Blaine .,Ten police officers were facing disciplinary action today after they abandoned their street patrol to go and watch the American illusionist David Blaine .
1,1243593,1243934,""" Nobody really knows what happened except me and that guard ,  Kaye said , """" and I can assure you that what he said happened didn 't happen . """""""," Nobody really knows what happened there except for me and the guard , and I can assure you that what he said happened didn 't happen ,  Kaye said ."
1,1600347,1600451,"Williams was White , and four of his victims were Black ; the fifth was White .",Four of those killed by Williams were black ; the other was white .
1,3065050,3064956,"Cross-dressing teens from Harvey Milk High School offered sex for money in Greenwich Village and then robbed the would-be johns by pretending to be cops , sources said last night .","Four Harvey Milk High School students who dressed as women were arrested yesterday for robbing men in the West Village - and pretending to be police officers , sources said ."
0,2529540,2529527,He also said the academy will get its own internal report next week detailing how serious the problem remains .,"The academy will get its own internal report next week and it will be made public , Rosa said ."
0,1568530,1568622,Defense Secretary Donald Rumsfeld is awaiting recommendations from his commanders .,Rumsfeld is awaiting recommendations from his commanders about troop needs in Iraq .
0,3363080,3363246,"In that same time , the S & P and the Nasdaq have gained about 3.5 percent .","The Nasdaq composite gained 4.78 to 1,955.80 , having edged up 0.1 percent last week ."
0,380073,379924,"Gold 's rise pulled other precious metals higher , shunting silver to $ 4.81 / 83 an ounce from $ 4.77 / 79 last quoted in New York .","Gold 's bounce pulled other precious metals higher , sending silver to $ 4.83 / 85 an ounce from $ 4.80 / 82 last quoted in New York ."
1,158719,159051,A statement released by DEI said Green would begin driving the car on an interim basis beginning next week in the Winston Open at Lowe 's Motor Speedway .,"It was announced that Green will replace Park in the Dale Earnhardt Inc . No. 1 Chevrolet , beginning with the Winston Open at Lowe 's Motor Speedway next week ."
1,741059,741125,"It is important for a process to be put into place , he said , that would permit a smooth transition from war to peace .","""He added : """" Let the process be put in place that will ensure a smooth transition from war to peace ."""
1,2309397,2309420," We are very pleased that the court dismissed the vast majority of the plaintiff 's claims ,  Coke spokeswoman Sonya Soutus said ."," We are very pleased that the court dismissed the vast majority of the plaintiff 's claims ,  said Coke spokesman Ben Deutsch ."
0,2228733,2228854,"The average American makes four trips a day , 45 percent for shopping or errands .",Nearly half - 45 percent - are for shopping or running errands .
0,2695011,2694981," I have always tried to be honest with you and open about my life ,  Mr. Limbaugh told his audience , which numbers 22 million listeners a week .","You know I have always tried to be honest with you and open about my life , Limbaugh said during a stunning admission aired nationwide on Friday ."
1,3332052,3331940,"New York City will get an estimated $ 182.5 million in tax revenue from the bonuses this year , compared with last year 's $ 125.4 million .","New York City will collect an estimated $ 182.5 million in tax revenue from the 2003 bonuses , compared with the $ 125.4 million it collected in 2002 ."
1,1018965,1019063,"Oracle shares were also higher , trading up 12 cents at $ 13.60 .",Shares of Redwood Shores-based Oracle rose 14 cents to $ 13.62 .
1,3372938,3372948,BioReliance 's stock closed down 2 cents yesterday at $ 47.98 per share .,"Shares of BioReliance sold at $ 47.98 at the close of market yesterday , down 2 cents ."
1,633371,633452,"Greenspan is head of the U.S. central bank , which sets U.S. interest rates .","Greenspan 's Federal Reserve , the U.S. central bank , decides interest rates in the world 's largest economy ."
1,713976,713992,The remains of three illegal immigrants were found Tuesday in a sweltering railroad car after fellow immigrants escaped and left behind their weakened companions .,"Three undocumented immigrants were found dead inside a railroad hopper car Tuesday , two days after fellow immigrants escaped the sweltering car and left behind their weakened companions ."
0,1158835,1158012,RJR spends an estimated $ 30 million annually on NASCAR .,NASCAR will get an estimated $ 75 million a year in cash and promotional concessions .
0,1284151,1284174,"The redesigned Finder also features search , coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac , Windows and UNIX file servers .","It also supports coloured labels to better organise documents , and dynamic browsing of the network for Mac , Windows and Unix file servers ."
1,2576446,2576544,"Tech stocks were hurt by a sour forecast from Sun Microsystems , which was viewed as a bad omen for the upcoming quarterly earnings season .",A sour forecast from Sun Microsystems Inc . SUNW.O put more pressure on Wall Street before the quarterly earnings season .
1,1860590,1860965,Sens. John Kerry and Bob Graham declined invitations to speak .,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida .
0,699979,700005,"The Institute for Supply Management said its manufacturing index was 49.4 percent last month , up from 45.4 in April .","The Institute for Supply Management 's manufacturing index rose to 49.4 in May from 45.4 in April , the biggest monthly gain since December ."
0,2686714,2686744,"In 1975 he married Marta Casals , the widow of Pablo Casals .","Istomin later married Casals ' widow , Marta , after Casals ' death in 1973 ."
1,607219,607092,"The epidemic began in November in the mainland 's Guangdong province , but the People 's Republic of China refused to report truthfully about its spread for four months .","The PRC epidemic began in Guandong province in November , but the Communist Party government refused to report truthfully about its spread for four months ."
1,2278050,2278126,Parson has been charged on one count of intentionally causing or attempting to cause damage to a computer .,Parson faces one federal count of intentionally causing damage to a protected computer .
1,213302,213135,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said ."
1,3065846,3065703,A federal appeals court yesterday reinstated perjury charges against a San Diego student accused of lying about his association with 9 / 11 hijackers .,A U.S. appeals court in New York reinstated perjury charges against a Grossmont College student accused of lying about his knowledge of two of the Sept . 11 hijackers .
1,3102538,3102255,Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black 's identity .,Prosecutors maintained that Durst murdered Black to try to assume Black 's identity .
1,2206809,2206624,"""She told Murray , """" We ... we have ... the fresh air is going down fast ! """"""", The fresh air is going down fast !  she screamed at Murray .
1,1466129,1466006,Vivendi argues the agreement had not been approved by the board and that the payoff was inappropriate given the state of Vivendi 's finances when new CEO Jean-Rene Fourtou took over .,Vivendi argues the agreement was not approved by its board and that the payoff was inappropriate given the state of Vivendi 's finances at the time .
1,2805768,2805313,Prisoners were tortured and executed -- their ears and scalps severed for souvenirs .,"They frequently tortured and shot prisoners , severing ears and scalps for souvenirs ."
0,113542,113404,"Woodley , who underwent a liver transplant in 1992 , died of liver and kidney failure .","Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La ."
0,1290542,1290504,"About 24 percent of men who took placebo , or 1,147 men , developed prostate cancer .","The researchers found that 18 percent of the men who took finasteride , or 803 men , developed prostate cancer ."
1,61572,61769,"Holders of paper bonds will be able , though not required , to convert to electronic accounts .","Beginning sometime next year , holders of existing paper bonds will be encouraged to exchange them for electronic versions ."
1,129988,130086,"The broad Standard & Poor 's 500 Index < .SPX > lost 6 points , or 0.71 percent , to 927 .",The broad Standard & Poors 500-stock index was down 4.77 points to 929.62 .
1,3409440,3409470,No rabies vaccine is available for humans in Zimbabwe and if it was it would be too expensive for most bitten by infected dogs .,"Health professionals say there is no rabies vaccine for humans in Zimbabwe and , even if it was available , it is too expensive for most bitten by infected dogs ."
0,1822540,1822921,"But Adora Obi Nweze , the NAACP state president , said the state only tried to prove its conclusion of suicide , rather than consider the possibility of murder .","Adora Obi Nweze , the NAACP state president , said the state has refused to consider the possibility of murder ."
1,1223140,1223201,They are due to appear in the Brisbane Magistrates Court today .,The men will appear in Brisbane Magistrates Court on Monday .
1,2475154,2475032," As a responsible leader we feel it necessary to make these changes because online chat services are increasingly being misused ,  Microsoft told the BBC ."," As a responsible leader we felt it necessary to make these changes because online chat services are increasingly being misused ,  stated Gillian Kent , director at MSN UK ."
1,2134759,2134730,"By Wednesday , the Red Planet will come as near to Earth as it has been in 60,000 years .","On Wednesday , at 7.51pm , Mars will be the closest to Earth it has been for 59,619 years ."
1,1568578,1568664,At least 29 American troops have been killed in action since Bush declared major combat over on May 1 .,Some three dozen American and British troops have been killed since Bush declared major combat over in Iraq on May 1 .
0,3292578,3292497,Friends of Animals president Priscilla Feral said she would spend the weekend considering the possibility of further legal action .,Friends of Animals president Priscilla Feral said she is considering the possibility of further legal action but declined to elaborate .
0,147744,147573,"In early afternoon trading , the Dow Jones industrial average was down 18.42 , or 0.2 percent , at 8,569.94 .","Since sinking to 2003 lows in early March , the Dow Jones industrial average has rallied 13.8 % ."
1,3275436,3275564,A positive PSA test has to be followed up with a biopsy or other procedures before cancer can be confirmed .,"Before confirming a diagnosis of cancer , a positive PSA test must be followed up with a biopsy or other procedures ."
1,1740656,1740677,"""A Commerce spokesman issued a brief statement late Friday , noting that the task force """" evaluated regions of the world that are vital to global energy supply . """""""," The energy task force evaluated regions of the world that are vital to global energy supply ,  the statement said ."
1,2905139,2904947,"Fanned by the hot , dry Santa Ana winds and minimal humidity , major fires were raging in at least 10 places , having already burned nearly 80 937 hectares .","Those hot , dry Santa Ana winds and minimal humidity created optimal conditions for raging fires in at least 10 places that have already burned nearly 200,000 acres ."
1,1267764,1267499,He served as a marine in the Second World War and afterward began submitting articles to magazines .,"After serving as a marine in World War II , he began submitting articles to magazines ."
1,149798,149596,Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .
1,345305,344783,"It passed only after Republicans won the support of two wavering senators , Democrat Ben Nelson of Nebraska and Republican George Voinovich of Ohio .","It passed only after Republicans won the support of Voinovich and another wavering senator , Nelson of Nebraska ."
1,2775364,2775332,"""A really robust program could be had for about 20 cents a day , """" Griffin said ."""," A really robust space program could be had for a mere 20 cents a day from each person ,  he said ."
1,995311,995560," The free world and those who love freedom and peace must deal harshly with Hamas and the killers ,  he told reporters as he emerged from a church service ."," It is clear that the free world , those who love freedom and peace , must deal harshly with Hamas and the killers ,  he said ."
1,71430,71501,"The money was taken at 4 a.m. on March 18 , hours before the U.S. launched its first air strikes , the newspaper said .","The seizure took place at 4 a.m. on March 18 , just hours before the first American air assault ."
0,1996296,1996327,"While opposition parties have welcomed the cabinet 's decision on anti-retroviral treatment , some said Health Minister Manto Tshabalala-Msimang was not fit to preside over a rollout plan .","Health Minister Manto-Tshabalala Msimang is not fit to preside over an anti-retroviral treatment rollout plan , according to some opposition parties ."
0,62655,62543,"Turner , who held about 105 million shares before the sale , also transferred 10 million AOL shares to a charitable trust .",Mr. Turner transferred about 10 million shares to a charitable trust before they were sold .
0,68066,68260,"The case is Illinois v. Telemarketing Associates , 01-1806 .","The case decided Monday centered around an Illinois fund-raiser , Telemarketing Associates ."
1,650062,650095,"""The Dow Jones industrials briefly surpassed the 9,000 mark for the first time since December . """"""","The Dow Jones industrials climbed more than 140 points to above the 9,000 mark for the first time since December ."
1,1856517,1856552,Minister Saud al-Faisal visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name .,"Minister Saud al-Faisal 's visit was disclosed by two administration officials , who spoke on condition of anonymity ."
1,1396775,1396739,"Along with chip.m.aker Intel , the companies include Sony Corp. , Microsoft Corp. , Hewlett-Packard Co . , International Business Machines Corp. , Gateway Inc . , Nokia Corp. and others .","Along with chip maker Intel , the companies include Sony , Microsoft , Hewlett-Packard , International Business Machines , Gateway , Nokia and others ."
1,1632002,1631786,"""They went into the operations of their own free will , """" their father Dadollah Bijani said .""","They went into the operation on their own free will , ' Reuters quoted their father , Mr Dadollah Bijani , as saying ."
1,1724409,1724310,Its second-quarter earnings per share of 22 cents was slightly better than analysts ' estimates of 19 cents a share and more than double its prediction in April .,But an earnings per share of 22 cents was slightly better than analysts ' estimates of 19 cents a share and more than double what Ford had predicted in April .
1,462488,462474,"""New cases of SARS might continue to appear , the authors write ominously , """" until the stratospheric supply of the causative agent becomes exhausted . """"""","New cases might continue to appear until the stratospheric supply of the causative agent becomes exhausted , they said ."
1,2331892,2331244,Investigators conducted DNA tests on the stains and ran the results through a national DNA data base in August .,Investigators conducted DNA tests on the stains and ran the results through a national database last month .
0,637337,637102,"""McBride dismissed Novell 's Unix ownership claims as """" a desperate measure to curry favor with the Linux community . """""""," We strongly disagree with Novell 's position and view it as a desperate measure to curry favor with the Linux community ,  McBride said ."
1,3099575,3099600," With Internet usage and broadband adoption continuing to escalate , marketers are throwing their weight and dollars behind interactive advertising ,  said IAB President and CEO Greg Stuart .",""" With Internet usage and broadband adoption continuing to escalate ,  Stuart says , """" marketers are throwing their weight and dollars behind interactive advertising . """""""
0,1757157,1756828,"In recent years , Mr. Hampton continued to run into trouble , facing charges of fare-beating and credit-card theft .","In recent years , Hampton kept in touch with friends and stayed in trouble : He faced charges of fare-beating and credit-car theft ."
1,2290718,2290988,The researchers at Imperial College London had previously shown that the hormone could suppress the appetites of lean people .,"Bloom and his colleagues had previously shown that the hormone , PYY3-36 , could curb the appetites of lean people ."
0,2277428,2277502,"""And yes , Marilyn Monroe is definitely part of the story , titled """" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """"""","""Note the subheading of this terrible parable in the """" American Masters """" series , """" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """""""
1,1306668,1306618,"Maddox , 87 , cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery , Virginia Carnes said .","Maddox , who had battled cancer since 1983 , cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery ."
1,667354,667115,"""The report by the Justice Department 's inspector general found """" significant problems """" in the government 's handling of foreigners who were jailed under blanket edicts adopted by the department after the attacks .""","""The Justice Department 's Office of the Inspector General described """" significant problems """" in the Bush administration 's actions toward the 762 foreigners held on immigration violations after the attacks ."""
